"label","n","parent","id"
"Croatia",14," Reality TV"," Reality TV  -  Croatia"
"Croatia",83," Romance"," Romance  -  Croatia"
"Croatia",15," Sci Fi"," Sci Fi  -  Croatia"
"Croatia",4," Short"," Short  -  Croatia"
"Croatia",17," Sport"," Sport  -  Croatia"
"Croatia",12," Talk Show"," Talk Show  -  Croatia"
"Croatia",59," Thriller"," Thriller  -  Croatia"
"Croatia",5," War"," War  -  Croatia"
"Croatia",5," Western"," Western  -  Croatia"
"Cyprus",203," Action"," Action  -  Cyprus"
"Cyprus",3," Adult"," Adult  -  Cyprus"
"Cyprus",128," Adventure"," Adventure  -  Cyprus"
"Cyprus",48," Animation"," Animation  -  Cyprus"
"Cyprus",5," Biography"," Biography  -  Cyprus"
"Cyprus",191," Comedy"," Comedy  -  Cyprus"
"Cyprus",119," Crime"," Crime  -  Cyprus"
"Cyprus",24," Documentary"," Documentary  -  Cyprus"
"Cyprus",316," Drama"," Drama  -  Cyprus"
"Cyprus",25," Family"," Family  -  Cyprus"
"Cyprus",29," Fantasy"," Fantasy  -  Cyprus"
"Cyprus",5," Film Noir"," Film Noir  -  Cyprus"
"Cyprus",8," Game Show"," Game Show  -  Cyprus"
"Cyprus",1," History"," History  -  Cyprus"
"Cyprus",24," Horror"," Horror  -  Cyprus"
"Cyprus",4," Music"," Music  -  Cyprus"
"Cyprus",51," Mystery"," Mystery  -  Cyprus"
"Cyprus",12," Reality TV"," Reality TV  -  Cyprus"
"Cyprus",80," Romance"," Romance  -  Cyprus"
"Cyprus",42," Sci Fi"," Sci Fi  -  Cyprus"
"Cyprus",4," Short"," Short  -  Cyprus"
"Cyprus",15," Sport"," Sport  -  Cyprus"
"Cyprus",11," Talk Show"," Talk Show  -  Cyprus"
"Cyprus",52," Thriller"," Thriller  -  Cyprus"
"Cyprus",4," War"," War  -  Cyprus"
"Cyprus",2," Western"," Western  -  Cyprus"
"Czech Republic",196," Action"," Action  -  Czech Republic"
"Czech Republic",7," Adult"," Adult  -  Czech Republic"
"Czech Republic",152," Adventure"," Adventure  -  Czech Republic"
"Czech Republic",82," Animation"," Animation  -  Czech Republic"
"Czech Republic",13," Biography"," Biography  -  Czech Republic"
"Czech Republic",193," Comedy"," Comedy  -  Czech Republic"
"Czech Republic",122," Crime"," Crime  -  Czech Republic"
"Czech Republic",34," Documentary"," Documentary  -  Czech Republic"
"Czech Republic",285," Drama"," Drama  -  Czech Republic"
"Czech Republic",22," Family"," Family  -  Czech Republic"
"Czech Republic",48," Fantasy"," Fantasy  -  Czech Republic"
"Czech Republic",5," Film Noir"," Film Noir  -  Czech Republic"
"Czech Republic",12," Game Show"," Game Show  -  Czech Republic"
"Czech Republic",4," History"," History  -  Czech Republic"
"Czech Republic",32," Horror"," Horror  -  Czech Republic"
"Czech Republic",2," Music"," Music  -  Czech Republic"
"Czech Republic",53," Mystery"," Mystery  -  Czech Republic"
"Czech Republic",16," Reality TV"," Reality TV  -  Czech Republic"
"Czech Republic",58," Romance"," Romance  -  Czech Republic"
"Czech Republic",12," Sci Fi"," Sci Fi  -  Czech Republic"
"Czech Republic",3," Short"," Short  -  Czech Republic"
"Czech Republic",16," Sport"," Sport  -  Czech Republic"
"Czech Republic",10," Talk Show"," Talk Show  -  Czech Republic"
"Czech Republic",46," Thriller"," Thriller  -  Czech Republic"
"Czech Republic",3," War"," War  -  Czech Republic"
"Czech Republic",4," Western"," Western  -  Czech Republic"
"Denmark",182," Action"," Action  -  Denmark"
"Denmark",4," Adult"," Adult  -  Denmark"
