"id","n","label","parent"
"total  -   Thriller  -  El Salvador",62,"El Salvador","total  -   Thriller"
"total  -   Action  -  Estonia",188,"Estonia","total  -   Action"
"total  -   Adventure  -  Estonia",126,"Estonia","total  -   Adventure"
"total  -   Animation  -  Estonia",52,"Estonia","total  -   Animation"
"total  -   Comedy  -  Estonia",215,"Estonia","total  -   Comedy"
"total  -   Crime  -  Estonia",118,"Estonia","total  -   Crime"
"total  -   Drama  -  Estonia",253,"Estonia","total  -   Drama"
"total  -   Mystery  -  Estonia",58,"Estonia","total  -   Mystery"
"total  -   Romance  -  Estonia",75,"Estonia","total  -   Romance"
"total  -   Sci Fi  -  Estonia",61,"Estonia","total  -   Sci Fi"
"total  -   Thriller  -  Estonia",53,"Estonia","total  -   Thriller"
"total  -   Action  -  Finland",194,"Finland","total  -   Action"
"total  -   Adventure  -  Finland",114,"Finland","total  -   Adventure"
"total  -   Animation  -  Finland",57,"Finland","total  -   Animation"
"total  -   Comedy  -  Finland",181,"Finland","total  -   Comedy"
"total  -   Crime  -  Finland",149,"Finland","total  -   Crime"
"total  -   Drama  -  Finland",317,"Finland","total  -   Drama"
"total  -   Fantasy  -  Finland",37,"Finland","total  -   Fantasy"
"total  -   Mystery  -  Finland",54,"Finland","total  -   Mystery"
"total  -   Romance  -  Finland",64,"Finland","total  -   Romance"
"total  -   Thriller  -  Finland",59,"Finland","total  -   Thriller"
"total  -   Action  -  France",206,"France","total  -   Action"
"total  -   Adventure  -  France",130,"France","total  -   Adventure"
"total  -   Animation  -  France",48,"France","total  -   Animation"
"total  -   Comedy  -  France",156,"France","total  -   Comedy"
"total  -   Crime  -  France",155,"France","total  -   Crime"
"total  -   Drama  -  France",321,"France","total  -   Drama"
"total  -   Fantasy  -  France",58,"France","total  -   Fantasy"
"total  -   Romance  -  France",60,"France","total  -   Romance"
"total  -   Sci Fi  -  France",54,"France","total  -   Sci Fi"
"total  -   Thriller  -  France",78,"France","total  -   Thriller"
"total  -   Action  -  Germany",207,"Germany","total  -   Action"
"total  -   Adventure  -  Germany",158,"Germany","total  -   Adventure"
"total  -   Animation  -  Germany",50,"Germany","total  -   Animation"
"total  -   Comedy  -  Germany",179,"Germany","total  -   Comedy"
"total  -   Crime  -  Germany",150,"Germany","total  -   Crime"
"total  -   Drama  -  Germany",298,"Germany","total  -   Drama"
"total  -   Family  -  Germany",50,"Germany","total  -   Family"
"total  -   Fantasy  -  Germany",66,"Germany","total  -   Fantasy"
"total  -   Mystery  -  Germany",56,"Germany","total  -   Mystery"
"total  -   Romance  -  Germany",66,"Germany","total  -   Romance"
"total  -   Thriller  -  Germany",79,"Germany","total  -   Thriller"
"total  -   Action  -  Greece",190,"Greece","total  -   Action"
"total  -   Adventure  -  Greece",124,"Greece","total  -   Adventure"
"total  -   Animation  -  Greece",51,"Greece","total  -   Animation"
"total  -   Comedy  -  Greece",175,"Greece","total  -   Comedy"
"total  -   Crime  -  Greece",139,"Greece","total  -   Crime"
"total  -   Drama  -  Greece",313,"Greece","total  -   Drama"
"total  -   Fantasy  -  Greece",44,"Greece","total  -   Fantasy"
"total  -   Mystery  -  Greece",56,"Greece","total  -   Mystery"
"total  -   Romance  -  Greece",82,"Greece","total  -   Romance"
"total  -   Thriller  -  Greece",50,"Greece","total  -   Thriller"
"total  -   Action  -  Guadeloupe",218,"Guadeloupe","total  -   Action"
"total  -   Adventure  -  Guadeloupe",122,"Guadeloupe","total  -   Adventure"
"total  -   Animation  -  Guadeloupe",49,"Guadeloupe","total  -   Animation"
"total  -   Comedy  -  Guadeloupe",157,"Guadeloupe","total  -   Comedy"
"total  -   Crime  -  Guadeloupe",153,"Guadeloupe","total  -   Crime"
"total  -   Drama  -  Guadeloupe",312,"Guadeloupe","total  -   Drama"
"total  -   Fantasy  -  Guadeloupe",51,"Guadeloupe","total  -   Fantasy"
"total  -   Mystery  -  Guadeloupe",45,"Guadeloupe","total  -   Mystery"
"total  -   Romance  -  Guadeloupe",71,"Guadeloupe","total  -   Romance"
"total  -   Thriller  -  Guadeloupe",71,"Guadeloupe","total  -   Thriller"
"total  -   Action  -  Guatemala",121,"Guatemala","total  -   Action"
"total  -   Adventure  -  Guatemala",103,"Guatemala","total  -   Adventure"
"total  -   Animation  -  Guatemala",64,"Guatemala","total  -   Animation"
"total  -   Comedy  -  Guatemala",208,"Guatemala","total  -   Comedy"
"total  -   Crime  -  Guatemala",91,"Guatemala","total  -   Crime"
"total  -   Drama  -  Guatemala",299,"Guatemala","total  -   Drama"
"total  -   Music  -  Guatemala",35,"Guatemala","total  -   Music"
"total  -   Mystery  -  Guatemala",42,"Guatemala","total  -   Mystery"
"total  -   Romance  -  Guatemala",112,"Guatemala","total  -   Romance"
"total  -   Thriller  -  Guatemala",58,"Guatemala","total  -   Thriller"
"total  -   Action  -  Honduras",135,"Honduras","total  -   Action"
"total  -   Adventure  -  Honduras",89,"Honduras","total  -   Adventure"
"total  -   Animation  -  Honduras",46,"Honduras","total  -   Animation"
"total  -   Comedy  -  Honduras",197,"Honduras","total  -   Comedy"
"total  -   Crime  -  Honduras",102,"Honduras","total  -   Crime"
"total  -   Drama  -  Honduras",308,"Honduras","total  -   Drama"
"total  -   Music  -  Honduras",34,"Honduras","total  -   Music"
